table,name,function,definition
invitation_issued,invitation_issued_no_truncate,reject_mutation,CREATE TRIGGER invitation_issued_no_truncate BEFORE TRUNCATE ON public.invitation_issued FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
invitation_resolved,invitation_resolved_append_only,reject_mutation,CREATE TRIGGER invitation_resolved_append_only BEFORE DELETE OR UPDATE ON public.invitation_resolved FOR EACH ROW EXECUTE FUNCTION reject_mutation()
invitation_resolved,invitation_resolved_no_truncate,reject_mutation,CREATE TRIGGER invitation_resolved_no_truncate BEFORE TRUNCATE ON public.invitation_resolved FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
membership_changed,membership_changed_append_only,reject_mutation,CREATE TRIGGER membership_changed_append_only BEFORE DELETE OR UPDATE ON public.membership_changed FOR EACH ROW EXECUTE FUNCTION reject_mutation()
membership_changed,membership_changed_no_truncate,reject_mutation,CREATE TRIGGER membership_changed_no_truncate BEFORE TRUNCATE ON public.membership_changed FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
migration_activity_choice,migration_activity_choice_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_choice_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_choice FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_identity,family_refresh_activity_owner,crm_family_refresh_activity_owner,CREATE TRIGGER family_refresh_activity_owner BEFORE INSERT ON public.migration_activity_identity FOR EACH ROW EXECUTE FUNCTION crm_family_refresh_activity_owner()
migration_activity_identity,migration_activity_identity_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_identity_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_identity FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_import,migration_activity_import_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_import_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_import FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_issue,migration_activity_issue_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_issue_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_issue FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
migration_activity_manifest,migration_activity_manifest_measure,crm_activity_measure_row,CREATE TRIGGER migration_activity_manifest_measure AFTER INSERT OR DELETE OR UPDATE ON public.migration_activity_manifest FOR EACH ROW EXECUTE FUNCTION crm_activity_measure_row()
